,Description,Price,Unit
171,"B22SHA-120SS4 Strut - Back To Back, Slots, Stainless Steel 304, 1-5/8"" x 3-1/4"" x 10'",488.41,FT
172,"B54S-120GRN Strut with 3"" Slots, Steel, Green, 1-5/8"" x 13/16"" x 10'",29.31,FT
173,BFP22SH-120 B-line Bfp22sh10 1 5/8-in. X 1 5/8-,173.10,FT
174,"B52-120 HDG  STRUT, 13/16"" X 1 5/8"", 12 GA, 120"", HD GLVD",59.68,FT
175,"B12SH-120GLV Strut, 2 7/16-IN. X 1 5/8-IN., 9/16-IN. X 1 1/8-IN. SLOTTED HOLES, 12 GA., 120",84.68,FT
176,B-903-10 Steel Strut,68.27,FT
177,RA 225 12 Metal Framing,18.28,FT
178,"B22-120SS4 Strut - No Holes, Stainless Steel 304, 1-5/8"" x 1-5/8"" x 10'",157.75,FT
179,"PS 200 2T3 10' SS Strut - Back To Back, Stainless Steel 304, 1-5/8"" x 3-1/4"" x 10'",121.29,FT
180,"B22SH-240HDG Strut - Elongated Holes, Steel, Hot-Dipped Galvanized, 1-5/8"" x 1-5/8"" x 20'",47.75,FT
181,"B22SH-240GLV Strut w/ Slotted Holes, 1-5/8"" x 1-5/8"" x 20', Steel, Galvanized",31.33,FT
182,"PS 400 10' PGAL 1 5/8"" X 1"" X 12 Ga. Strut",34.65,FT
183,"PS 200 10 HDG Strut - No Holes, Steel, Hot-Dipped Galvanized, 1-5/8"" x 1-5/8"" x 10'",47.18,FT
184,"PS 200 10' ALUM Strut - No Holes, Aluminum, 1-5/8"" x 1-5/8"" x 10'",30.36,FT
185,"PS 500 EH 20' HDG Strut - Steel, HDG, 13/16"" x 1-5/8"", 20'",25.80,FT
186,ROB-R PBSH1000-2-1/2 1-5/8 STRUT SL,104.40,EA
187,A1202HS 10GR GRN SLOT STRUT,108.36,FT
188,A1200KO 20GR STANDARD StrutS (GR. PAINTED FINI,53.44,FT
189,SP A1202 20B BLACK COMBO Strut,379.47,FT
190,S251 30 BRACKET,"1,985.50",EA
191,A1400S-10 SLOTTED Strut,31.14,FT
192,B1202-20HDG COMBINATION Strut,448.59,FT
193,A1400S-20 SLOTTED Strut,31.14,FT
194,E1200KO-10PG KNOCKOUT Strut,327.06,FT
195,TB A1200HS10HDGC HS STRUT 12GA 1-5/8,180.50,FT
196,A1200KO 10 KNOCKOUT Strut,44.90,FT
197,B1400-20T316SS Strut,742.79,FT
198,A1200P 10GR PUNCHED Strut,52.70,FT
199,A1200P 10HDG PUNCHED Strut,167.43,FT
200,B1400S-12EG B1400 12FT ELECTRO GALV FINISH,138.10,FT
201,H1200HS-20 1/2 SLOT Strut,102.29,FT
202,H1202-10GR COMBINATION Strut,810.86,FT
203,A1202 20AL 20' ALUM Strut,207.94,FT
204,E1200HS-10HDG STANDARD StrutS (HOT DIP GALV FIN,181.34,FT
205,E1200 10PG 12 GAUGE Strut 10FTLONG,123.78,FT
206,S251 36HDG CANTILEVER BRACKET,"2,322.35",EA
207,S251-30HDGC BRACKETS,"1,797.31",EA
208,A1200HS-18PG STEEL Strut,187.85,FT
209,A1200HS-1SS Strut STAINLESS STEEL 1',784.60,FT
210,A1200P 20PG PUNCHED Strut,42.28,FT
211,A1200S 10SS SS A1200S-10SS SLTD STRUT 12GA 1-5/8,292.19,FT
212,"A1200HS-10'10""T316 SUP A1200HS 10 10 T316SS HALF","3,867.08",EA
213,B1400S-20 SLOTTED Strut,62.26,FT
214,S251 18HDG BRACKET,"2,682.38",EA
215,S251-12HDGC BRACKETS,"1,429.17",EA
216,S251-20HDGC BRACKETS,"1,847.20",EA
217,BB PAE9999-79 AL PARAGRV CLAMP W/CO,170.16,EA
218,"B1200HS 20EG 1/2 SLOT Strut, ELECTRO-GAL",30.78,FT
219,B1202HS 20 GLD SLOT STRUT,71.07,FT
220,RA-300-12 Metal Framing,37.48,FT
221,B 900 10 HD STEEL Strut,44.88,FT
222,B-900-2A-10-GR B900 2A10 PAINTED GREEN,151.19,FT
223,B 905 10 GR Strut (GR. PAINTED FINISH),72.85,FT
224,B 900 20 HD STEEL Strut,44.88,FT
225,B-903-10-HD HOTDIPPED STEEL Strut,133.27,FT
226,"A1200S-10PG Strut with 3"" Slots, Steel, Pre-Galvanized, 1-5/8"" x 1-5/8"" x 10'",31.10,FT
227,B-900-20 Steel Strut,19.73,FT
228,B-905-20 PUNCHED STRUT 12GA 1.5X1.5 20FT STL,15.78,FT
229,B-995-20 Steel Strut,11.08,FT
230,PS 150 20' PGAL Atkore PS-150-20-PG,63.84,FT
231,B-907-10-GR SOLID CHL GRN,68.29,FT
232,A1202 10HDG SS A1202-10HDG STRUT BK-BK 12GA 1-5/,98.54,FT
233,A1202-20EG  STRUT BK-BK 12GA 1-5/8X1-5/8 20FT EG,94.48,FT
234,"A1200 10GR Strut - No Holes, Steel, Green, 1-5/8"" x 1-5/8"" x 10'",28.41,FT
235,SS B1200HS-20GR GREEN SLOTCHL,36.63,FT
236,B1200S-10EG SLTD STRUT 12GA 1-5/8X13/16 10FT EG,45.78,FT
237,A1400-20PG  STRUT 14GA 1-5/8X1-5/8 20FT PG STL,24.77,FT
238,"H1200HS16FT8INPG Strut,H1200,HALFSLOT,16FT8IN PG","11,647.44",EA
239,E1200HS 10PG SS E1200HS-10PG HS STRUT12GA 1-5/8X2,123.78,FT
240,B1200-10GR GREEN Strut,36.63,FT
241,"B24SH-120SS4  STRUT, 1 5/8"" X 1 5/8"", 9/16"" X 7/8"" SLOTTED HOLES,14 GA,120""",146.98,FT
242,"B-LINE B24H17/8-120SS6 Strut, 1 5",302.35,FT
243,A1202HS-20PG HALF SLOT STRUT BK-BK 12GA 20FT PG,52.84,FT
244,B1200HS-10T316SS HS STRUT 12GA 1-5/8X13/16 10FT 316SS,217.61,FT
245,"B-LINE B52S-240GLV Strut, 13/16-I",39.19,FT
246,"B-LINE B52S-120GRN Strut, 13/16-I",41.32,FT
247,"B54SHA-120GRN Strut - Back to Back, Holes, Steel, Green, 1-5/8"" x 13/16"" x 20'",91.10,FT
248,BFP22A-120 B-LINE BFP22A120 1 5/8-IN. X 1 5/8-,254.39,FT
249,B1400-10 Std Strut,19.09,FT
250,SS A1202HS-20 SLOT STRUT,59.86,FT
251,PS 200 2T5 10' PGAL PS 200 2T5;,123.90,FT
252,"B22H17/8-120GLV Strut, 1 5/8-IN. X 1 5/8-IN., 9/16-IN. DIA. HOLES, 1 7/8-IN. CENTERS, 12 GA.,",37.60,FT
253,A1200HS 10HDG HS STRUT 12GA 1-5/8X1-5/8 10FT HDG,54.38,FT
254,"B54S-240GLV  STRUT, 13/16"" X 1 5/8"", 13/32"" X 3"" SLOTS, 14 GA, 240""",27.79,FT
255,"B22A-120GRN Strut, 1 5/8-IN. X 1 5/8-IN., BACK TO BACK, 12 GA., 120-IN. (10 FT), GREEN",99.14,FT
256,"B52SH-120HDG  STRUT, 13/16"" X 1 5/8"", 9/16"" X 7/8"" SLOTTED HOLES,12 GA,120""",63.51,FT
257,"4D22SH-120GLV Strut, 4D, 2 Inch x 2 Inch, 5/8 Inch x 1-1/4 Inch Slotted Holes.",12.02,FT
258,"B52A-120HDG  STRUT, 13/16"" X 1 5/8"", BACK TO BACK, 12 GA, 120"", HD G",179.04,FT
259,"ROBROY PBSH3300-103/4"" PVC COATED UNISTRUT WITH SLOTTED HOLES",23.94,FT
260,"A1400HS 10PG Strut - Elongated Holes, Steel, Pre-Galvanized, 1-5/8"" x 1-5/8"" x 10'",14.86,FT
261,"B1200HS 10PG Strut with Elongated Holes, Steel, 1-5/8"" W x 13/16"" D x 10' L",21.35,FT
262,"B1400HS 10HDG Strut - Elongated Holes, Steel, Hot-Dipped Galvanized, 1-5/8"" x 13/16"" x 10'",43.25,FT
263,"B1200HS 10GR Strut - Elongated Holes, Steel, Green, 1-5/8"" x 13/16"" x 10'",27.48,FT
264,"A1200S 20PG Strut, Slots, 1-5/8"" W x 1-5/8"" D x 20' Long, Steel, Pre-Galvanized",42.28,FT
265,"B24SH-240GLV Strut - Elongated Holes, Steel, Pre-Galvanized, 1-5/8"" x 1-5/8"" x 20'",28.20,FT
266,"B54A-120AL Strut - Back-to-Back, Aluminum, 1-5/8"" x 3-1/4"" x 10'",132.92,FT
267,"B-LINE 4D21SH-120GLV 4D Strut, 1-",9.69,FT
268,B 905 10 HD PUNCHED STRUT 12GA 1.5X1.5 10FT HD,35.91,FT
269,"B22A-120SS4 Strut - Back To Back, Stainless Steel 304, 1-5/8"" x 3-1/4"" x 10'",473.23,FT
270,"B22A-240HDG Back to Back Strut, Steel, 12 Gauge, Hot-Dip, 1-5/8"" x 3-1/4"" x 20'",143.19,FT
271,A1200HS-20 1/2 Slot Strut,19.77,FT
272,"PS 210 EH 10' SS Strut - Elongated Holes, Stainless Steel 304, 1-5/8"" x 1-5/8"" x 10'",87.52,FT
273,"B54SH-240GLV Strut w/ Slottel Holes, 13/16"" x 1-5/8"" x 20', Steel",27.79,FT
274,PS 200 2T4 10' PGAL P-strut Ps-200-2t4-10-pg Ps 200 2t4,123.90,FT
275,"PS 200 EH 2T3 10' HDG Strut - Back To Back, Steel, Holes, Hot-Dipped Galvanized, 1-5/8"" x 3-1/4"" x 10'",104.14,FT
276,A1200-10SS  STRUT 12GA 1-5/8X1-5/8 10FT STN STL,153.60,FT
277,PS 210 10' PGAL Atkore PS-210-10-PG,31.56,FT
278,"PS 200 EH 10' DF Strut - Elongated Holes, Steel, Gold, 1-5/8"" x 1-5/8"" x 10'",47.18,FT
279,B-995-10-SS 1-1/2X1-1/2 STRUT,200.52,FT
280,ROB-R PBSH1000-1-1/2 1-5/8 STRUT SL,62.66,EA
281,ROB-R PBP1000-3 1-5/8 STRUT 3 FEET,109.01,EA
282,A1200S-12EG A1200S 12FT ELECTRO GALV FINISH,53.06,FT
283,E1202HS-10 Strut,476.07,FT
284,E1202-20PG COMBINATION Strut,411.14,FT
285,E1200HS 10EG E SERIES Strut WITH EG FINISH,82.49,FT
286,G-975-M-10 STEEL FIXTURE Strut,53.31,FT
287,E1200-10B BLACK Strut,119.43,FT
288,E1202-10 COMBNATION Strut,476.07,FT
289,A120020BC A Strut 12 GA. BARE,118.37,FT
290,B1202HS-20GR Strut (GR.PAINTED FINISH),221.19,FT
291,B1200P-10HDG PUNCHED Strut,345.26,FT
292,B1200S-20 13/16 Strut SLOT 20 FT,118.85,FT
293,H1200-20EG H SERIES SUPERSTRUT WITH EG FINISH,84.80,FT
294,H1202 20PG COMBNATION Strut,462.86,FT
295,H1200 20GR GREEN STRUT,171.00,FT
296,C14P-B PVC CTD SHALLOW PNCH STRUT STRUT BLU,48.22,FT
297,B1202HS-20PG COMBINATION Strut,103.18,FT
298,G-956-10HD Strut,66.46,FT
299,B1200P-20 PUNCHED Strut,148.56,FT
300,G 975 20 STEEL FIXTURE Strut,39.99,FT
301,G-953-10HD Strut,67.79,FT
302,A1200HS 20AL ALUM. Strut,122.65,FT
303,B1202 10EG COMBINATION Strut,90.02,FT
304,S251 42 BRACKET,"3,070.38",EA
305,S251-14HDGC BRACKETS,"1,538.12",EA
306,SP B1400 20B BLACK Strut,40.04,FT
